# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ar,أبا عن جد,,,أبا عن جد,cultural_reference,Wiktionary,Wiktionary contributors,,,,through and through,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%A8%D8%A7_%D8%B9%D9%86_%D8%AC%D8%AF,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أبى إلا,,,أبى إلا,cultural_reference,Wiktionary,Wiktionary contributors,,,,to insist,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%A8%D9%89_%D8%A5%D9%84%D8%A7,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أتى على الأخضر واليابس,,,أتى على الأخضر واليابس,cultural_reference,Wiktionary,Wiktionary contributors,,,,to wreak havoc,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%AA%D9%89_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%A3%D8%AE%D8%B6%D8%B1_%D9%88%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%B3,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أجج العنف,,,أجج العنف,cultural_reference,Wiktionary,Wiktionary contributors,,,,to breed violence,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%AC%D8%AC_%D8%A7%D9%84%D8%B9%D9%86%D9%81,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أذن في مالطا,,,أذن في مالطا,cultural_reference,Wiktionary,Wiktionary contributors,,,,to carry coals to Newcastle,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%B0%D9%86_%D9%81%D9%8A_%D9%85%D8%A7%D9%84%D8%B7%D8%A7,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أرضية ملائمة,,,أرضية ملائمة,cultural_reference,Wiktionary,Wiktionary contributors,,,,"breeding ground, fertile ground",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%B1%D8%B6%D9%8A%D8%A9_%D9%85%D9%84%D8%A7%D8%A6%D9%85%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أسطوانة مشروخة,,,أسطوانة مشروخة,cultural_reference,Wiktionary,Wiktionary contributors,,,,broken record,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%B3%D8%B7%D9%88%D8%A7%D9%86%D8%A9_%D9%85%D8%B4%D8%B1%D9%88%D8%AE%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أضحك الثكلى,,,أضحك الثكلى,cultural_reference,Wiktionary,Wiktionary contributors,,,,to be utterly ridiculous,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D8%B6%D8%AD%D9%83_%D8%A7%D9%84%D8%AB%D9%83%D9%84%D9%89,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,أهل مكة أدرى بشعابها,,,أهل مكة أدرى بشعابها,cultural_reference,Wiktionary,Wiktionary contributors,,,,Locals or natives are most familiar with their own territory; insiders or experts know best about their field or area.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A3%D9%87%D9%84_%D9%85%D9%83%D8%A9_%D8%A3%D8%AF%D8%B1%D9%89_%D8%A8%D8%B4%D8%B9%D8%A7%D8%A8%D9%87%D8%A7,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,إبرة في كومة قش,,,إبرة في كومة قش,cultural_reference,Wiktionary,Wiktionary contributors,,,,needle in a haystack,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A5%D8%A8%D8%B1%D8%A9_%D9%81%D9%8A_%D9%83%D9%88%D9%85%D8%A9_%D9%82%D8%B4,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
