# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
es,a base de bien,,,a base de bien,cultural_reference,Wiktionary,Wiktionary contributors,,,,loads; galore,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_base_de_bien,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a boca de jarro,,,a boca de jarro,cultural_reference,Wiktionary,Wiktionary contributors,,,,without a glass or cup,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_boca_de_jarro,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a borbotones,,,a borbotones,cultural_reference,Wiktionary,Wiktionary contributors,,,,hurriedly; at a breakneck speed,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_borbotones,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a bote pronto,,,a bote pronto,cultural_reference,Wiktionary,Wiktionary contributors,,,,off the top of one's head,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_bote_pronto,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a brazo partido,,,a brazo partido,cultural_reference,Wiktionary,Wiktionary contributors,,,,tooth and nail,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_brazo_partido,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a buen paso,,,a buen paso,cultural_reference,Wiktionary,Wiktionary contributors,,,,on the double,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_buen_paso,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a buen recaudo,,,a buen recaudo,cultural_reference,Wiktionary,Wiktionary contributors,,,,safe and sound,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_buen_recaudo,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a buen seguro,,,a buen seguro,cultural_reference,Wiktionary,Wiktionary contributors,,,,"surely, for sure, no doubt",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_buen_seguro,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a buenas,,,a buenas,cultural_reference,Wiktionary,Wiktionary contributors,,,,on good terms,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_buenas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a buenas horas,,,a buenas horas,cultural_reference,Wiktionary,Wiktionary contributors,,,,"fine time, about time, high time",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_buenas_horas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
